player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ben Sims,77918,TE,MIN,6,9.2,0,60.0,50.0,1,2,0,0.0,0,2,18,0,70.5,65.8,54.3,75.6,67.9,64.3,27,0,18,16.7,7,42,1,3,81.0,34,19.0,8,77.1,5,0,16.7,7,30,4,1.3,10.0,0.88
David Martin-Robinson,77892,TE,TEN,11,6.6,1,80.0,50.0,1,2,0,0.0,0,3,31,0,72.1,67.0,73.0,57.2,77.8,60.5,23,0,14,21.1,8,38,0,4,73.7,28,21.1,8,131.3,5,1,15.8,6,30,17,4.3,7.5,1.07
Eric Saubert,11929,TE,SEA,14,6.0,0,80.0,,0,0,0,0.0,0,2,29,0,73.4,68.0,65.8,81.4,57.5,74.6,97,0,12,32.3,42,130,2,4,64.6,84,15.4,20,92.5,5,0,2.3,3,31,16,4.0,7.8,0.37
Sal Cannella,60853,TE,CLV,2,11.8,0,40.0,0.0,0,1,0,33.3,1,1,8,0,29.9,64.0,51.3,71.6,51.8,50.0,11,1,6,4.5,1,22,0,2,90.9,20,31.8,7,8.3,5,0,18.2,4,11,5,2.5,5.5,0.55
Malik Davis,57196,HB,DAL,9,3.6,0,40.0,0.0,0,1,0,33.3,1,0,9,0,36.2,83.3,60.3,50.0,43.0,0.0,0,0,10,35.2,31,88,0,2,60.2,53,2.3,2,48.8,5,0,1.1,1,16,6,3.0,8.0,0.3
Brenden Bates,53746,TE,CLV,8,8.0,1,80.0,50.0,1,2,0,20.0,1,3,8,0,41.6,67.0,57.0,65.4,64.6,88.2,45,0,19,39.2,20,51,0,4,58.8,30,5.9,3,106.7,5,0,3.9,2,48,9,2.3,12.0,1.6
Kendre Miller,123091,HB,NO,7,-1.0,1,100.0,100.0,1,1,0,0.0,0,1,20,0,74.6,85.5,74.0,57.4,72.9,0.0,0,0,11,35.2,19,54,0,5,55.6,30,7.4,4,91.7,5,0,1.9,1,30,35,7.0,6.0,1.0
Shedrick Jackson,84136,WR,LV,5,16.6,0,80.0,0.0,0,1,0,0.0,0,2,23,0,72.1,68.3,73.8,,73.4,0.0,0,0,25,0.0,0,19,0,4,94.7,18,52.6,10,152.9,5,1,47.4,9,56,5,1.3,14.0,3.11
Devin Duvernay,40006,WR,CHI,6,16.2,0,40.0,66.7,2,3,0,0.0,0,1,6,0,70.5,90.4,68.7,,69.4,3.8,1,0,24,0.0,0,26,0,2,96.2,25,38.5,10,57.1,5,0,53.8,14,26,0,0.0,13.0,1.04
Trent Sherfield,48021,WR,ARZ,12,8.6,0,60.0,,0,0,0,0.0,0,1,1,0,70.5,65.8,46.8,77.8,49.9,2.3,2,0,15,4.5,4,88,2,3,87.5,77,34.1,30,69.6,5,0,63.6,56,21,13,4.3,7.0,0.27
Tip Reiman,129423,TE,ARZ,4,4.8,1,60.0,0.0,0,2,0,25.0,1,1,1,0,36.8,65.8,45.8,46.9,44.4,81.3,39,0,10,20.8,10,48,1,3,72.9,35,6.3,3,67.1,5,0,8.3,4,18,9,3.0,6.0,0.51
Jonathan Mingo,97774,WR,DAL,6,14.3,0,25.0,0.0,0,1,0,50.0,1,1,9,0,28.9,61.2,53.2,,51.5,0.0,0,0,25,0.0,0,43,0,1,95.3,41,20.9,9,53.1,4,0,79.1,34,25,4,4.0,25.0,0.61
James Mitchell,77885,TE,CAR,5,2.5,0,75.0,0.0,0,1,0,0.0,0,2,5,0,70.5,65.8,78.3,73.6,74.2,60.0,12,0,11,20.0,4,20,0,3,75.0,15,25.0,5,93.8,4,0,5.0,1,28,22,7.3,9.3,1.87
Efton Chism III,141521,WR,NE,8,13.5,0,100.0,100.0,1,1,0,0.0,0,4,19,0,72.1,80.8,70.5,71.8,73.2,4.3,2,0,35,4.3,2,47,0,4,87.2,41,19.1,9,158.3,4,1,76.6,36,95,44,11.0,23.8,2.32
Scott Matlock,82482,FB,LAC,17,-0.5,0,100.0,,0,0,1,0.0,0,1,27,0,72.1,67.0,50.5,59.1,49.2,44.5,49,0,5,61.8,68,110,1,4,38.2,42,22.7,25,118.8,4,1,9.1,10,12,14,3.5,3.0,0.29
Keleki Latu,146291,TE,BUF,5,2.8,2,100.0,100.0,1,1,0,0.0,0,3,4,0,72.1,67.0,73.8,70.5,65.3,52.3,23,0,14,11.4,5,44,0,4,84.1,37,31.8,14,103.1,4,0,15.9,7,35,24,6.0,8.8,0.95
Hassan Haskins,83701,HB,LAC,8,-1.0,1,100.0,,0,0,0,0.0,0,0,27,0,72.1,79.8,58.5,44.2,57.2,0.0,0,0,9,28.3,17,60,0,4,70.0,42,3.3,2,80.2,4,0,3.3,2,13,17,4.3,3.3,0.31
Andre Baccellia,47901,WR,ARZ,4,1.5,1,50.0,,0,0,0,33.3,1,0,1,0,29.9,75.4,45.6,,46.2,0.0,0,0,5,0.0,0,72,0,2,98.6,71,40.3,29,56.3,4,0,59.7,43,8,7,3.5,4.0,0.11
Tank Bigsby,123974,HB,PHI,13,-1.5,4,75.0,,0,0,1,25.0,1,1,24,0,36.8,86.4,80.4,13.4,46.3,0.0,0,0,31,16.7,11,66,1,3,81.8,54,7.6,5,97.9,4,0,6.1,4,32,39,13.0,10.7,0.59
Cody White,61448,WR,SEA,9,10.3,2,75.0,,0,0,0,0.0,0,2,29,0,70.5,71.9,65.2,,67.5,0.0,0,1,60,0.0,0,47,0,3,95.7,45,42.6,20,116.7,4,1,57.4,27,90,57,19.0,30.0,2.0
Chris Rodriguez Jr.,83689,HB,WAS,13,3.8,2,75.0,,0,0,0,0.0,0,1,32,0,70.5,88.5,73.5,47.7,54.5,0.0,0,1,18,19.8,23,116,1,3,75.0,87,7.8,9,56.3,4,0,4.3,5,30,28,9.3,10.0,0.34
Ryan Miller,78734,WR,NYG,12,17.8,0,50.0,100.0,1,1,0,0.0,0,1,21,0,68.3,64.0,62.3,75.2,59.7,0.0,0,0,20,8.3,3,36,1,2,86.1,31,27.8,10,118.8,4,1,72.2,26,34,0,0.0,17.0,1.1
Ronnie Bell,84288,WR,NO,1,22.0,0,50.0,,0,0,0,0.0,0,1,20,0,68.3,64.0,74.5,,71.8,0.0,0,0,16,0.0,0,22,0,2,100.0,22,22.7,5,107.3,4,1,77.3,17,23,1,0.5,11.5,1.05
